id,prediction
id0898117,855.0158216133595
id0902216,918.0755795284595
id0820280,569.1414230848632
id2214549,767.4790110066706
id2576205,694.6793810865811
id0527242,941.7997575067811
id2126329,2680.9588570842707
id3468683,693.4263251952316
id2459479,1281.5351337494967
id2384843,1024.9896259406987
id2043002,982.2277570233446
id2726399,677.6464054400449
id2785851,656.7123237430378
id2023315,1120.673414718377
id2972142,810.0042428430561
id3202512,690.8726686406762
id0876799,866.0278391591082
id1353681,1456.2763751453122
id3094517,712.8979823727959
id1478994,1097.2431884875505
id1132188,827.0649354286315
id2139791,1348.3514930114206
id1500597,1519.3423565045332
id2695311,1333.616605335238
id1520129,1016.3191395078493
id1309623,1444.1941242057246
id1911604,628.3689161525281
id0333608,637.3099795821936
id2182578,639.5377921098798
id2015806,1126.7616330678675
id0421433,704.0291524777085
id1760508,697.3298610368174
id2000184,923.1979656056819
id3965726,711.6996749416749
id0093716,552.209173616141
id0739111,1976.2652935144097
id3726580,900.003503571289
id0002608,666.8483010950613
id2990394,751.5367373970757
id1576197,736.2613912507759
id0426056,792.6803475956285
id1509114,592.3603734950766
id1045588,969.6974787248137
id2368838,905.0806304551543
id0516790,1640.0454361787224
id1152721,611.1058640360816
id1199993,662.4569022191454
id0955952,694.1717493364149
id2884385,640.45050958107
id3602303,723.7992372122199
id0872795,1181.8619889943102
id1347011,606.1085183731002
id3850307,819.0685016264351
id2289787,545.683969227236
id2647509,756.9662572932675
id3885184,540.919339128809
id1083862,781.4192292673206
id0831421,668.5258516677304
id2814265,1230.5126124825429
id0220607,1147.5279199167953
id0697085,635.2558686720031
id2383123,667.9212195607715
id3609805,1285.148165455469
id1635383,2773.9990433890953
id2452165,694.1252509625219
id3612600,488.1318153851489
id2709866,894.993240602761
id2023525,680.0999625236609
id1987809,766.1044288878502
id0530534,573.6435586835532
id3136507,560.0016620502456
id1797918,978.8589011381073
id1560292,883.6517452109138
id0577304,812.447145170353
id0583689,714.4954758112608
id2983399,1188.381701117144
id3317253,604.8480499109892
id0410506,698.943169016452
id1747805,878.7147610522543
id0859998,634.3375960692383
id1249759,1088.3646578376238
id1300389,985.0560073242405
id1921049,586.7967872796753
id0373656,570.3275576734841
id3726044,805.6719415489888
id0157493,1286.0439033614193
id3442063,632.8009923748496
id1210854,730.0116704010825
id2304156,1235.7749548167294
id1549963,754.9322681890217
id2558632,1032.9765443477909
id3590862,796.2365701698609
id2577515,1009.970134215403
id0491192,581.5612289814335
id2440714,718.8316456109924
id3532805,563.723144830964
id1906658,831.097445535891
id1754727,750.0840937204512
id1381196,818.4530578393706
id2919411,548.4952359812623
id2757161,716.6339000325124
id0990768,693.0246377955073
id1484953,791.8256656822805
id1502458,659.6630716177924
id0520317,831.5202226428619
id0784961,574.6831302526871
id1793619,642.5946087282018
id2325582,611.7991088929948
id2208713,1001.8155490705349
