id,prediction
id0788543,441.5399801221756
id3159380,567.2671424411856
id3236318,1310.0021780573843
id1229912,597.8079803532419
id0481892,752.5564817964078
id0378517,628.6096293952542
id3338376,430.15714525088333
id3928056,412.1037163050023
id0442491,1261.4975970358173
id0576545,519.8568752376195
id2805956,525.9734871027358
id0200528,476.774780689997
id2851770,484.12424938910044
id0607461,614.6208279080129
id1581289,589.8980005245139
id1458381,592.5075398229565
id2662468,2912.888400705745
id0543527,565.815014257907
id0988634,1018.7472080402258
id1347814,727.9561449607463
id3140918,743.5210761883391
id1544324,480.44416959271985
id0166991,1052.6421172604205
id3043363,440.96825217914375
id3089945,932.3991248821658
id1446408,776.5482505491273
id1710250,810.4296379947737
id3084779,927.5610988426015
id3977504,717.9627902131215
id2073734,524.4366375141653
id2208315,428.50717347744285
id3746272,572.6260339985856
id2894199,1092.014524592134
id0218202,455.81189029839516
id0072917,634.2385294398664
id2076404,670.7547028453009
id2091725,561.8542377002923
id3384868,714.9093432498375
id1487494,467.004126777927
id3946348,490.5954648587831
id2360073,545.5839499029134
id3523451,400.73284249537755
id0134490,1054.2934867738986
id2196020,393.9231892649077
id1465101,2276.4258441950333
id3222238,1214.222877343247
id3322387,1263.4609360355498
id3130809,440.62777085182097
id3232164,450.3641609048682
id2646242,1643.2695310108793
id0206158,761.5136638802687
id1498657,602.2367032542643
id0859922,715.1788652691139
id2020545,507.65545283234314
id3929128,802.8321194448545
id3162031,1007.55337266059
id3824323,657.6915949962313
id0680758,414.9081935442555
id2253943,734.3727499353445
id1819365,547.477092687328
id2915288,588.1385411488409
id3524861,354.75618385013877
id1100069,656.6440044757801
id2674867,783.9921279154332
id0202235,1584.959315673932
id2444465,590.1032067300221
id2406258,1061.3775861965878
id0316600,1361.4375089088899
id1457263,1177.7673575653644
id3554716,698.328138836765
id1367385,405.5770160324646
id3491343,500.19718692243987
id0369785,440.3602121138356
id0817306,581.1435079223265
id3833907,1149.0943105294027
id2022392,801.16883287569
id3666267,2006.9616440219797
id3851099,672.1974869890382
id2650576,728.3962786533793
id2573568,641.6991799912048
id3166507,536.7168083104025
id0736787,1490.6655719695245
id2968612,771.0028197347619
id1870776,634.9018466596299
id2522489,656.134710208562
id1103231,1983.9749441724616
id3887388,710.7589969243691
id3747009,603.1843248471178
id2820961,1279.746175734368
id1359477,637.6295638083448
id0386408,690.4558363751257
id3703963,687.5629339496645
id0991147,764.0081288348647
id3931511,1358.8406880220846
id1624604,784.7122645846594
id1625833,798.2521933823136
id1620020,915.61873021889
id2964590,3101.828664557569
id2473375,644.9146551730137
id3963505,1694.6146316607756
id3054991,2212.6266556441024
id2152064,902.0281637545613
id2019797,729.4317984083955
id3579788,673.6540556749515
id2451448,470.7048026063694
id3158392,535.6692808002463
id0751940,978.1473361310473
id0581684,735.950892799874
id2777532,603.4320534225826
id0706861,609.1491531581687
id2104145,1008.1934283094724
id2931661,1190.4947566652754
id3929796,785.6358662343537
id3396596,599.0042985261298
id0068636,610.2457969234874
id3895224,561.8202714227864
id1593025,876.4604807122214
id2522995,960.6939112995369
id1390389,722.386072595551
id0981331,683.4295136116034
id1043773,979.7090136879688
id2630500,1052.1131751419653
id0498815,685.4905884645686
id1779395,656.2635851362265
id3818848,608.0914737728144
id0255208,704.6584024524982
id2383552,1005.7853475765278
id0614404,919.745513000873
id3654938,568.9659863043107
id0026252,936.1125460902676
id1361209,1030.9394117475586
id2990412,490.2366724041185
id1297505,657.9209554971221
id1595445,659.256988157058
id1138074,839.6953267546323
id2795843,624.8200956017517
id2933137,726.7700659289676
id3647665,1044.8578410777245
id0146416,539.0965500492948
id3440701,667.0341120993162
id3974781,548.4823586759067
id1370894,803.7860949904407
id2258250,995.1825460459495
id1612499,869.6150127092096
id2018220,719.0926688264499
id3511770,640.2759838280454
id0500813,843.3966349742313
id3044511,604.8588448270366
id0468143,596.4330813080651
id2168722,624.0880073092612
id1950018,540.0744710714625
id1404718,807.9959743326599
id2140002,747.4973802546574
id1649378,541.1283647289656
id1203044,748.1989673200278
id3771847,603.7356395437728
id2501907,612.8252168131348
id3589043,542.094674916194
id0740378,654.1015637248547
id1901875,455.9415611787026
id2842971,689.7158958267228
id2698094,3207.8281196563958
id2288911,815.1644945983844
id3442482,1236.5919520288717
id0542258,1010.0912084670836
id3891767,1096.198258942697
id3215984,808.8823996262054
id3770869,511.36466613422635
